ZIP,STATE,TOTAL_DEPOSITS,BRANCH_COUNT,LAT,LON,AVG_DEPOSIT_PER_BRANCH,NORM_DEPOSIT_BASE,NORM_BRANCH_DENSITY,OPPORTUNITY_SCORE,CAPTURE_PCT,EXPECTED_CAPTURE_USD
08816,NJ,16040297000,15,40.431644497195336,-74.39668404683671,1069353133.3333334,15.923253196051508,3.6488846174671075,8.094398070644061,0.1,1604029700.0
48098,MI,14388261000,5,42.59334759721222,-83.17084741367532,2877652200.0,14.2832718717037,1.2162948724890357,8.083445174026606,0.1,1438826100.0
10021,NY,15506715000,12,40.769530767199186,-73.95914206008793,1292226250.0,15.393564669283235,2.919107693973686,8.068495723980465,0.1,1550671500.0
21201,MD,14406815000,7,39.29235956598645,-76.618311559271,2058116428.5714285,14.301690485760506,1.70281282148465,7.899889162862444,0.1,1440681500.0
07470,NJ,16003997000,18,40.946096968977955,-74.24187162000685,889110944.4444444,15.887218072074896,4.378661540960529,7.780866226860725,0.1,1600399700.0
89102,NV,14670525000,12,36.13688809134637,-115.19313786912333,1222543750.0,14.56347623077076,2.919107693973686,7.570442660872981,0.1,1467052500.0
94301,CA,14051223000,10,37.44600299952824,-122.1612278037525,1405122300.0,13.948693190854412,2.4325897449780713,7.396180016521419,0.1,1405122300.0
92101,CA,15477347000,22,32.7173086617127,-117.16203790107441,703515772.7272727,15.364410963472073,5.351697438951757,7.0779676025025395,0.1,1547734700.0
98154,WA,12025662000,1,47.6062130032136,-122.333810041814,12025662000.0,11.937912426193552,0.24325897449780715,7.0654438659170085,0.1,1202566200.0
28403,NC,15598301000,23,34.22058040067781,-77.8721614585108,678187000.0,15.484482379049679,5.594956413449564,7.052706862049982,0.1,1559830100.0
33602,FL,13932753000,14,27.947194780053245,-82.45694184432861,995196642.8571428,13.831087649876197,3.4056256429693,6.936402332737997,0.1,1393275300.0
90049,CA,13242086000,10,34.05441270076132,-118.4672030349005,1324208600.0,13.145460350384344,2.4325897449780713,6.914240312239378,0.1,1324208600.0
68102,NE,12371680000,6,41.260405117334386,-95.93706302626799,2061946666.6666667,12.281405581238708,1.459553846986843,6.785021809948487,0.1,1237168000.0
92614,CA,12690538000,10,33.68241271967183,-117.84731339469879,1269053800.0,12.597936919005496,2.4325897449780713,6.585726253412069,0.1,1269053800.0
29201,SC,14072531000,19,34.00190534961909,-81.03484060954372,740659526.3157895,13.969845709358369,4.621920515458336,6.533139219431686,0.1,1407253100.0
10573,NY,12547172000,11,41.00135375828585,-73.67687580664409,1140652000.0,12.455617040657538,2.6758487194758787,6.403030736604171,0.1,1254717200.0
89074,NV,11886014000,8,36.0283353725813,-115.08392450636437,1485751750.0,11.799283418119563,1.9460717959824572,6.301141332478754,0.1,1188601400.0
